i,u|you
surrend,surr|surrender|ff|surender
hi,hello|wb|hey|tks|thanx|ggwp|repoirt
came,went|comes|died|flashed|ran|stayed|come|pinged|moved
mal,dann|zum|lass|gleich|bitte|mir|sterben|jo|zeit|pushen
ignored,muted|ignore|mute
took,stole|takes|gave|got|steals|missed|take
used,missed|wasted|uses|use|flashed
watch,check
hahahaha,ahahaha|hahah|hahahah|hahha|hahaha|ahahah|hahahahaha|ahah|xddd|ahaha
nooob,nob|noooob|nobo|nooooob|looser|failer|n00b|naab|bastard|noobb
strong,weak|stronk|good|gud|usefull|squishy|heavy
follow,listen|catch|chase|answer|protect|beat|folow|explain|blame|touch
4v5,4vs5|3v5|5v5|3vs5|5v4
range,
isnt,is|aint|wasnt
el,por|con|ese|esta|como|malisimo|tiene|ayuda|una|hace
renek,rumble|riven|wukong|jax|olaf|irelia|ryze|talon|morde|cass
tryn,garen|trynda|wukong|poppy|trynd|singed|nasus|gp|fiora|kata
call,tell|say
suicide,sleep|chase|overextend
throw,ruin|threw
says,
level,lvl|lv|lvls|levels
bush,brush|bushes|base|grass
played,seen
seriously,srsly
pushing,farming|failing|pushed|camping|ganking|dying|roaming|winning|fighting|dieing
chance,
ma,ne|pur|ena|mij|idi|mer|dan|uft|deze|exei
hf,gl
banned,ban|reported|bann
fucked,screwed|fcked|fked|fuked|fuckd|messed|ruined
skin,skins|lifesteal|stuff
shyv,udyr|skarner|naut|noc|mundo|mumu|panth|jarvan|amumu|mao
botlane,toplane
idea,choice
ve,wouldve|ive|havent
defend,def|protect|push|deff|cover|destroy
dc,
joke,question|teamgame
12,13|11|14|8|16|17|18|10|15|9
15,25|10|40|30|20|18|22|17|16|27
item,items
new,
whole,entire|hole
serious,srs
creeps,minions|cs|exp|creep|minion|kills|xp|lasthits
seen,played
lo,como|mas|pero|cuando|esta|para|una|asi|ahora|eso
inc,incoming|cming|owm|camps|gogo|heading|comin|ss2|ss1|omw
protect,cover|defend|follow|guard
wasnt,was|aint|isnt
enough,
mao,shyv|noct|mumu|skarner|naut|nauti|maokai|noc|nautilus|rammus
cass,malz|brand|ziggs|cassio|anivia|renek|ahri|karth|veig|gragas
while,when
check,watch
v,v5|v1|vs1|2vs|4vs|vs5|3vs|1vs
der,nicht|zu|auch|alter|nur|und|das|nen|unser|dieser
enjoy,
anymore,
idc,
shield,heal|stun|ignite|spell|taunt|silence|ult|ulty|ulti|exhaust
almost,nearly
coz,cuz|cause|cus|because|cos|couse|becouse|bcs|becuase
ne,tot|nem|um|jo|ja|weg|flamen|sch|weiter|alta
job,
everyone,everybody|someone|every1|noone
pushed,pushing
read,write|understand
nicht,auch|wenn|nich|doch|wie|nur|weil|immer|schon|aber
into,through|around|away|towards|in
left,
many,much
bug,lagg|lag|laggs|lags
instead,isntead|loads
yet,
ask,asked|tell|explain
surr,surrend|surrender|ff|surender|surrende
ff,surr|surrend|surender|surrender|finnish|surend|surrende|finish
owned,pwned|raped|carried|outfarmed|outplayed|baited|camped|trolled|pwnd|countered
youre,ure|hes|shes|im|iam
gone,taken
once,twice
thing,
long,
kidding,kiddin|kiding|telling
dunno,idk|wonder
spam,spamming|insult|spamm|flame|spaming
farming,pushing|failing|ganking|roaming|camping|dying
nautilus,shyvana|twitch|trynd|mundo|rammus|renek|singed|udyr|jarvan|alistar
mumu,malph|ww|skarner|amumu|shyv|noc|fiddle|nauti|malp|noct
les,vous|pour|comme|des|moi|tes|sont|mais|toi|ils
jump,jumped|engage|charge|walk
pinged,died|asked|came
death,
chill,relax
hmm,hm
losing,loosing|winning|lost|ruining|failing
chase,follow|engage|overextend|suicide|atack|facecheck|attack|focus|dive
nidalee,nida|heimer|trynd|kayle|veigar|swain|singed|ryze|ezreal|teemo
score,stats|stat
al,para|mira|tio|como|asi|rato|esta|todo|mas|mejor
actually,
assist,assists|assit|asist
ezreal,tristana|draven|renekton|katarina|nidalee|trynd|urgot|veigar|trynda|heimer
least,
ga,ie|madreds|rabadon|lw|trinity|bf|sheen|qss|madred|abyssal
em,them|him
xddd,ahah|lool|hahahaha|ahahaha|xdd|ahhaha|hahaha|hahahahaha|ahahahaha|ahaha
made,makes
old,olds|years
unskilled,offensive|negative|unskill
day,time|tiem
dafuq,wth|wtf
under,near
trap,
hey,hi|comon
bb,bye|cya
cmon,comon|comeon
stronk,gud|strong|heavy|abd|mainstream|weak|lazy|cute|dangerous
caught,grabbed|cought|ganked|raped|camped|baited|dived|carried|countered|caugh
11,13|8|14|16|12|17|18|21|22|23
been,
24,
trolls,retards|noobs|kids|flamers|tards|players
riot,
behind,near|ahead
most,biggest
1st,first|2nd|3rd|5th|third|frist|next|firt|nex|nxt
group,gather|regroup|grp|together
yup,alright|dw|yeye
bastard,sucker|motherfucker|fag|cunt|whore|loser|jew|nigger|bastards|fucktard
gave,give|took|giving|gives|stole
goes,comes|went|runs|stays
cc,damage|sustain|dmg|stuns
deaths,assists|deads|asist|cs|kills
carried,owned|raped|trolled|pwned|baited|outfarmed|countered|outplayed|zoned|camped
dick,cock|balls|penis|brother|friend|father|dicks|mum|mother|sister
trynd,pantheon|nidalee|garen|twitch|heimer|singed|trynda|wukong|nautilus|shyvana
rdy,ready
mi,tio|anda|todos|mata|casi|una|cuando|acer|nadie|estas
supp,support|sup|suport|ad|ap
till,until|untill|til
gogo,gogogo|inc|nad|gogog|psl|adn|plsss
greedy,cocky|agressive|silly|rude|angry|lucky
mine,yours|urs
realy,rly|really|rlly
whats,
heimer,nidalee|talon|trynd|eve|nida|gragas|katarina|leblanc|twitch|poppy
mate,m8|buddy|foult|mates
