i,u|you
couldnt,cannot|cant|wont|didnt|didint|could|wouldnt
saying,telling|thinking|doing
exhaust,ignite|heal|flash|ghost|ulty|ult|stun|shield|taunt|silence
ist,auch|aber|alter|nicht|wenn|gefeedet|von|wegen|wie|wird
awesome,amazing|horrible|awful|terrible|ridiculous|lame|worthless|imba|annoying|cute
50,40|60|70|80|25|15|18|10|30|35
these,those
tanky,agressive|squishy
master,
trying,supposed|able|going
reports,bans
mins,minutes|min|seconds|secs|minuts|minute|hours|months|sec|00
rumble,renek|talon|wukong|panth|irelia|morde|yorick|vlad|jax|riven
soz,srry|sory|sry|srr
second,3rd|2nd|third
grab,hook|stun|taunt
those,these
mr,armor|mres|armour|magic|resist|lifesteal|shoes|boots
malphite,trynd|singed|nidalee|malph|kayle|poppy|gp|twitch|rumble|renek
sup,supp|suport|support
toi,alors|quoi|mec|moi|comme|aussi|mort|etre|encore|mais
pantheon,trynd|hecarim|katarina|wukong|caitlyn|trynda|renekton|volibear|jayce|heimer
french,spanish|german|russian|polish|drunk|gay|mentally|braindead
dd,ddd|hehe|ahha|hahahahaha|hah|feeeeeed|hahha|hahahha|hahahahah|okok
ahah,xddd|ahha|ahahaha|lool|ahahah|hahahaha|ahaha|hahha|ahahahaha|hah
else,
crying,whining|raging|complaining|dieing|talking|flaming|insulting|whine|speaking|qqing
mais,quoi|laisse|encore|ce|oui|bon|ouai|allez|lui|serieux
golems,golem|red|drag|dragon|wraiths|drake
ck,cking|cker
jsut,just
nab,nub|failer|nooob|nap|bastard|sucker|naab|noob|loser|nob
work,count
lot,couple|alot|lots
fuk,fck|fk|fuck|fuckk|fack|piss
feeded,fed|outfarmed|feedet|farmed|owned
gtfo,
stats,score|stat|scores|items
pretty,kinda|quite|very|sooo|soo
va,qu|deja|par|bien|nous|aller|fait|quand|vas|faire
maokai,jarvan|shyvana|mundo|rammus|nauti|voli|twitch|amumu|nautilus|shyv
camp,babysit|babysitt|push|hold|gank|gnak|gang
ready,rdy
ftw,
put,place
ganking,pushing|camping|farming|helping
jesus,christ|nigger|lord|moly|pussys|jew|shiit|holy|whores|cunts
rene,renek|rumble|panth|malp|pant|nida|ire|wukong|ori|jax
babysit,camp|babysitt|babysitting|gnak|gang|gank
ihr,wir|alle|immer|seid|mich|sind|seit|aber|euch|doch
mit,und|von|auch|zu|auf|gegen|nur|noch|nicht|hat
vote,voted
renekton,caitlyn|katarina|draven|ezreal|pantheon|volibear|trynd|leblanc|heimer|kassadin
forget,remember
ure,youre|hes|shes|im|iam
nop,
players,kids|player|people|teams|ppl|games|trolls
ahaha,ahahah|ahahahaha|ahhaha|hahha|ahahaha|hahahah|ahha|hahahahah|hahahahha|fuu
kass,kassa|morg|ahri|anivia|panth|vlad|swain|renek|lb|brand
another,
ai,avais|avoue|vu|jamais|hein|mec|jai|vue|jsuis|alors
fuking,fcking|fking|fukin|fuckign|fkn|fckin|fkin|facking|fckn|faking
meh,
pink,vision
far,
sa,ca|allez|faire|jme|chier|lui|ces|elle|ce|mais
comes,came|goes|dies|stays
press,pressed
reprot,rpeort|repport|report|repot|repor|rep|9x|x9|reprt|reort
picked,pick
pant,malza|wu|anni|malp|grag|casio|karth|zil|ori|cassi
hold,handle|gnak|camp|switch
happy,glad|quiet|proud|angry|mad
teamplay,teamwork
hahahah,ahahah|hahahaha|ahahaha|hahah|ahaha|hahaha|lool|ahahahaha|hahha|hahahahaha
dis,thsi|dat|thi
40,25|35|60|15|50|22|18|45|30|27
auch,nicht|weil|aber|wenn|nich|naja|noch|dann|schon|alter
non,bon|allez|moi|bien|parler|alors|bah|quoi|faire|apprendre
passive,passiv|ultimate
den,ohne|deiner|jeden|danach|dir|eine|holen|uns|mitte|meinen
taking,stealing|steals
called,
er,schon|ohne|mich|sein|mir|egal|meinen|zu|voll|mehr
sleep,suicide|cry
hm,hmm|ahh|yh|hum|mh|mhm|uhm|ah
pfff,fuu|luker|fckng|jajajaj|hahahahahaha|ogm|fuuu|fuckiing|fuucking|pffff
kinda,pretty|quite|soo|sooo|totally
holy,bull|sherlock|jesus|christ
srry,soz|sry|sory|sorry
boss,baws|chicken
lool,xddd|ahah|hahahahaha|ahhaha|loool|hahahah|ahahaha|ahaha|hahaha|ahahah
around,into|through
baby,girl
soo,sooo|soooo|sooooo|very|pretty|so|kinda|super|quite
rush,take|force
teamfight,teamfights|fight|fights
face,head|house|dreams|ass|opinion|keyboard|family|pants|mothers|profile
wie,nich|nicht|dumm|alter|genau|gut|auch|wenn|richtig|sein
lagg,lag|laggs|lags|bug|laag
money,gold|vision
yourself,urself
shop,b|brb|recall
bottom,bot|top|mid
mia,sss|cming|owm|ss2|camps|mis|ss1|commin|comin|comign
ahahah,hahha|ahahaha|ahaha|hahahah|ahahahah|ahhaha|hahahahaha|hahahahah|hahahaha|hahah
flamer,feeder|troller|kid|loser|leaver|failer
ha,dice|ves|seguro|espera|ko|mismo|ahora|bn|veo|tanto
nobody,noone|no1
write,type|read|speak|talk|say|listen
two,three|2
13,14|11|16|17|8|12|18|22|23|21
ie,bf|lw|ga|rabadon|bt|warmogs|qss|deathcap|madreds|wriggles
moi,alors|toi|aussi|comme|elle|pour|vous|mais|qui|allez
though,tho|thought
random,
silence,stun|taunt|heal|shield|snare|ignite|ulty|exhaust|fear|ulti
gets,takes|dies
tp,exhaust|ult|flash
deal,
cares,talks
bist,spielst|hdf|hurensohn|opfer|spast|sagst|dumm|drecks|kleiner|hure
sur,aller|francais|oui|gars|laisse|dans|ouai|jte|mais|prendre
listen,answer|react|follow|explain|hear|talk|understand|teach|write|tell
hecarim,pantheon|nocturne|jayce|trynd|shyvana|heimer|viktor|heca|sejuani|warwick
destroy,ruin|defend
worry,
ggwp,tks|nooooooooob|nj|feeeder|loll|pz|tyvm|dddd|yw|gjh
started,stopped
nid,nida|xerath|tris|nidalee|lulu|singed|shyvanna|malp|viktor|yorick
noct,skarner|shyvana|mundo|noc|jarvan|mumu|mao|naut|malph|nauti
con,como|del|hasta|mira|ke|para|tiene|joder|esta|malisimo
less,more
duo,
force,rush
yy,yeye
wraiths,wraith|wolves|red|golem|wolfs|blue|ghosts|wraits|blu|wolf
tried,wanted|tryed|decided|try
ulty,ulti|ult|ultimate|arrow|taunt|exhaust|stun|spells|ignite|shield
forgot,
saved,killed|ulted|ultied|followed|healed|shielded
needs,wants|has|tries|takes|refuses
thank,
karth,ori|veig|malp|cass|kart|pant|grag|casio|malz|malza
everything,
cancer,aids
draven,katarina|jayce|volibear|mord|malzahar|caitlyn|ezreal|renekton|vladimir|sejuani
bla,blabla|blablabla
stuff,items|equip|build|skin
ruin,ruined|ruining|throw|ruins|ruine|threw|destroy
hits,hit|whisper
leblanc,heimer|katarina|talon|trynd|kat|xerath|orianna|renekton|kassadin|rumble
hehe,jk|idd|dd|me2|hah|awww|mh|ouh|okok|oups
anyone,someone|any1|some1|somebody|anybody|noone
des,tous|tes|ais|genre|jai|une|bah|etes|les|tre
noo,nooo|fuu
loool,hahahahahaha|fuu|lool|ahahahaha|jajajaj|ahah|noon|fuuu|ahahahah|ahahaha
change,switch|swap
penta,quadra
friend,father|brother|name|mum|dad|opinion|parents|girlfriend|sister|self
point,moment|fact
deserve,deserv|want
matter,
zu,schon|mir|mich|noch|dir|immer|dann|von|hier|uns
mum,mother|father|mom|dad|sister|self|family|parents|mothers|friend
jayce,katarina|draven|mordekaiser|pantheon|caitlyn|trynd|orianna|evelynn|vladimir|zilean
minutes,mins|seconds|min|secs|minuts|minute|months|hours|sec|00
lmao,ahahahaha|soooooo|hahahahahaha|retarde|scumbag|reallly|pr0|goof|idot|lawl
others,other
sigh,fkign|geez|fuuu|impressive|woah|fuckn|fuckig|soooooo|truly|spotted
2v1,1v2
malza,pant|veig|xerath|viktor|malz|zil|malzahar|kenen|orianna|casio
nie,jak|tylko|ale|ze|chuj|kurwa|teraz|juz|sie|mnie
winning,loosing|losing|wining|pushing|failing
heil,hitler|hitla|sieg|sck|calculated|kleinen|yer|schl|yhe|ft
merde,putain|putin|arrete|serieux|pute|vraiment|tg|grosse|sous|fils
alive,dead
totally,totaly|completely|completly|kinda
muted,ignored|mute|ignore|reported
kat,gragas|leblanc|viktor|brand|swain|cassio|karthus|ryze|rumble|cass
idk,dunno|wonder
nocturne,warwick|hecarim|sejuani|heca|pantheon|katarina|mordekaiser|temmo|trundle|volibear
feel,
boring,annoying|unfair|pathetic|lame|funny|sad|ridiculous|braindead|horrible|amazing
smart,good|bad|usefull|clever|dumb|cool|funny|fair|annoying|agressive
shot,shoot|shots|hit
sux,sucks|sucked|suck
annoying,pathetic|lame|braindead|boring|retarded|terrible|horrible|gay|dumb|funny
stole,took|steals|takes|steal|gave
river,tribush
ruined,ruin|threw|ruins|ruining|ruine|destroyed|lsot|throwed|fucked|sucked
doch,jetzt|dann|mir|mich|einfach|wenn|uns|schon|gleich|nix
ti,tou|li|sta|tin|che|kai|kaneis|anda|exeis|vai
por,como|pero|ahora|esta|eso|hace|joder|una|asi|cuando
story,
flashed,jumped|ran|healed|ulted|moved|ultied|runs|walked|came|backed
tg,sale|vraiment|aussi|grosse|putain|ces|mdr|merci|putin|merde
caitlyn,renekton|katarina|tristana|draven|volibear|pantheon|jayce|orianna|mordekaiser|ezreal
xp,exp|buffs|blues|farm|creeps
havent,havnt|ve|wouldve
running,walking|runs|standing|ran|miles|run|walk|staying|walked|walks
minion,creep|minions|creeps
hitler,hitla|sieg|heil|kleinen|juden|ft|zur|nder|sprache|schl
plays,is
dich,mich|jetzt|uns|sich|naja|richtig|einfach|ihn|nix|diese
rape,pwn|beat|zone|crush|outfarm|catch|kick|harass|nuke|pown
spell,shield|spells|combo|q|ability|skill|skills|crit|ultimate
line,lane|lanes
tho,though
pathetic,braindead|annoying|brainless|lame|retarded|amazing|terrible|awful|boring|worthless
crazy,pathetic|terrible|stupid|annoying|dumb|silly|retarded|braindead|angry|boring
los,siempre|nos|las|uno|como|dios|arriba|una|vez|mucho
killing,attacking|chasing|diving|baiting|fighting|blaming
9x,x9|rep|repot|reprot|repport|repor|rpeort|raport|reprt|reporrt
eh,egal|um|klar|bringt|meinen|alta|runde|sei|echt|beste
warwick,nocturne|pantheon|hecarim|sejuani|caitlyn|tryndamere|heca|yii|shyvanna|jayce
char,champ|hero|champion|champs|character
crap,bullshit|shitty|shit|sht|terrible|shiit
nob,nooob|noooob|naab|nobo|looser|failer|cheater|nooooob|nap|n00b
shes,hes|youre|iam|ure|im|theyre|whos
fucker,fcker|fuckers|fuker|motherfucker
might,may|shouldnt|wil|will|should|would|ll|must|wouldnt|gona
expect,realise|realize|notice
fag,faggot|sucker|cunt|whore|bastard|prick|fucktard|scrub|motherfucker|jew
ahahaha,hahha|ahahah|hahahahaha|hahahaha|ahhaha|ahahahah|hahahahah|ahha|ahahahaha|fuu
tards,retards|idiots|morons|bitches|faggots|nabs|noobs|kids|fags|scrubs
atleast,
deine,deiner|meine|dein|dir|seine|eine|von|fertig|schon|mir
karma,singed|zilean|nidalee|jayce|heimer|xerath|kayle|tristana|orianna|katarina
wu,pant|heca|nau|cassi|wukong|trundle|renek|zil|anni|malz
skills,spells|ultimate|skill|abilities|words|spell|brains|eyes|ulty|arrows
ein,wie|alter|dumm|das|nicht|drecks|schlecht|der|gut|eine
wat,wut|nothign|waht|wot|nothink
hab,hatte|mehr|habe|mache|gemacht|noch|brauch|schon|liebe|gesagt
knew,thought|wrote
stand,walk|stay|stood
auf,haben|auch|nicht|lassen|doch|wenn|von|erst|dann|durch
insult,flame|insulting|spam|flaming|flamming|spamming|abuse|verbal|report|spaming
purpose,
poor,fat|brainless|pathetic|anoying|ugly|mature|tarded|worthless|braindead|retared
ik,jij|dan|zo|maar|niet|ook|een|wel|aan|het
nauti,maokai|mumu|nautilus|pant|noct|malza|twitch|mao|trundle|shyvana
towers,turrets|inhib|inhibitor|inhibs|nexus|tower|turret
mute,ignore|muted|ignored|rpeort|add
needed,need
2nd,3rd|1st|third|5th|first|evry|frist|second|firt|next
cos,cuz|cause|coz|cus|because|becouse|couse|bcs|casue|becuase
xerath,viktor|orianna|oriana|cassi|zilean|malza|ori|malp|kassadin|ziggs
seems,looks|feels|sounds
kenen,malza|draven|oriana|mord|nidale|casio|xerath|zil|malp|kenne
vision,wards|pink|money|oracles
orianna,xerath|viktor|ziggs|draven|malza|heimer|ori|vladimir|jayce|katarina
fat,ugly|child|poor|dirty|german|gay|lil|litle|whore|russian
fear,taunt|silence|ulty|stun
atack,attack|attak|atk|chase
roam,switch|swap|snowball|recall|backdoor|rape
pour,moi|hein|alors|toi|sont|comme|vous|jme|les|et
dorans,doran|boots|wriggles|phantom|lifesteal|armor|zeal|infinity|pots|armour
wir,mich|werden|naja|jetzt|reporten|wieder|dann|uns|ihr|gewinnen
taunt,stun|silence|ulty|ulti|shield|ult|snare|fear|hook|ignite
recall,shop|roam|b
aha,okok|hah|aah|mh|hum|babe|me2|hahahahha|hahha|yap
faster,
nur,nicht|immer|auch|wenn|weil|haben|wieder|wie|aber|mich
feeders,flamers|trollers|suckers|luckers|nooobs|leavers|tards|retards|nabs|germans
speed,basic|auto
deff,def|safe|defend|regroup
men,nigga|guise|natu|1vs4|yap|alsitar|kitty|nubs|xdddddddddddd|teeemo
makes,made|make
main,name|smurf
lags,laggs|lagg|lag|bugs|problems|bug
believe,belive|handle|understand|hear|admit|touch|reach
intentional,intentionally|intentionnal|intentionaly|international|constant
obvious,obv|funny|unfair|difficult|amazing|weird|sad|lame|boring
puta,mierda|partida|culpa|manco|hijo|vez|ostia|gilipollas|retrasado|ijo
regroup,gather|group|finnish|togheter|deff|together
clear,clean
ive,uve|ve|youve
viktor,xerath|orianna|cassi|ori|malza|draven|grag|casio|evelynn|anni
balls,dick|cock|penis|brother|eyes|hands
super,sooooo|mega|extremely|uber|soooo|sooo|ultra|soo
aber,grad|nix|schon|auch|nich|dann|eig|jetzt|wenn|wieder
half,50|80|90|60
zilean,xerath|zil|karma|heimer|jayce|katarina|cassi|viktor|kassadin|orianna
combo,spell|hook|taunt|aim|shield|ultimate|ulty
skype,ts|youtube|facebook|perd|forum|dit|peut|pula|phone|gagner
bin,eben|gleich|bis|sagte|weil|geh|warum|gesagt|erst|eig
gotta,must|ll|may|might|will|should|ill
aswell,also
creep,minion|creeps|minions
katarina,jayce|kassadin|draven|mordekaiser|caitlyn|pantheon|tryndamere|renekton|vladimir|trynd
whatever,
trundle,nocturne|wu|shyvana|tryn|shyvanna|draven|ire|twitch|orianna|singed
vous,allez|sont|ils|etes|avez|laisse|jme|encore|faire|ais
14,13|16|17|11|18|23|22|12|21|8
nooo,noooo|noes|sr|nooooooo|me2|sory|nevermind|yeha|snap|woops
twice,once
single,
moms,noooooooooooooooooooooooooooooobs|family|mothers|sister|mums|parents|fathers|dad|mum|self
ran,walked|runs|walk|went|flashed|walks|run|jumped|backed|stayed
dies,feeds|comes|leaves|gets
shy,mumu|casio|pant|amu|tw|cassi|nauti|karth|noct|grag
baited,outplayed|raped|owned|trolled|carried|pwned|outfarmed|grabbed|zoned|dived
aint,isnt|wasnt
fkin,fkn|fking|fcking|fuking|fuckign|fckin|fckn|freaking|fukin|facking
mdr,vraiment|aussi|quoi|mec|seul|alors|merci|tout|serieux|etre
language,attitude|beeing
years,year|olds|months|old|deads|seconds|minuts|days|minutes|ans
war,mach|geht|alles|aus|einfach|dachte|muss|bringt|gesagt|nix
piece,pieces|peace|sons|son|bunch|amount|kind
auto,basic|speed
quit,
german,russian|french|spanish|polish|mentally|fat|racist|kiddo|kiddy|arrogant
prob,problem|plan|fault|foult
helping,carrying|reporting|following|owning|blaming|ganking
amazing,awesome|ridiculous|horrible|pathetic|hilarious|lame|terrible|annoying|awful|insane
magic,pen|armor|resist|armour|mres|resistance|mr|resi|res|lifesteal
plus,alors|mort|aussi|toi|etre|avant|putain|hein|serieux|encore
escape,dodge|survive
tris,ori|draven|nid|orianna|sivir|viktor|mf|trist|ziggs|cass
possible,
means,happens
nerf,
fuc,suc
eat,
later,
which,that
gz,ahhaha|roflmao|feeeder|diz|tks|n1|loll|wauw|hahahha|ggwp
su,di|merda|puta|mierda|puto|hijo|cazzo|partida|soy|tira
net,alles|grad|junge|dass|aus|nichts|warum|nix|wohl|sonst
waiting,asking|w8ing
ori,veig|karth|grag|cassi|malp|viktor|xerath|amu|zil|casio
today,
mir,uns|dir|einfach|voll|sagen|jetzt|werden|noch|naja|weil
handle,beat|hold|believe|belive|deny|reach
pc,computer|internet|mouse|keyboard|hands|girlfriend|client|gf|penis|house
health,hp|iq|mana|life|ms|stacks
fr,pr|suce|vraiment|partie|amis|tuer|tg|nan|insultes|baise
com,bem|ele|ainda|jogo|meu|nao|faz|mesmo|vai|cuidado
ton,leur|elle|alors|mon|sous|sans|jai|jamais|mes|moi
tanks,
pa,anda|era|vai|li|ke|ser|aver|tira|nunca|mio
iam,im|shes|hes|youre|am|m|ure
aegis,abyssal|zekes|rabadon|warmogs|madreds|trinity|wota|ie|oracles|zeke
kassadin,katarina|tryndamere|mordekaiser|evelynn|vladimir|xerath|viktor|leblanc|pantheon|heimer
scared,afraid|bored|proud|tired|silly|sick|angry
pussy,douche|whore|dumbass|dog|ugly|child|baddie|cunt|gay|bitch
biggest,worst|bigest|noobest|dumbest|badest|baddest|greatest|most
ca,sa|allez|quand|ils|faire|jme|alors|lui|bien|ais
z,sen|za|ci|chuj|cie|ale|ama|sta|po|kurwa
twich,temo|heca|yii|temmo|ramus|sejuani|zigs|kartus|fidle|nidale
match,game|gam|games
happens,happened|happend|means
boy,girl|kiddo|child|virgin|nerd|prick|dog|lil
stealing,taking|steals|takin
x9,9x|rep|repot|repport|reprot|repor|rpeort|reprt|reort|raport
anyways,anyway|otherwise
name,friend|brother|father|dad|opinion|country|stupidity|girlfriend|mum|account
hahahahaha,ahhaha|ahahahah|ahahaha|hahahahah|4vs1|xdddd|hahahahahaha|jajajaj|hahha|hahahha
urself,yourself
lolz,lawl|awww|reflex|ahahhaha|jk|aww|lease|ahha|aight|gotcha
wenn,weil|doch|nicht|immer|dann|wieder|einfach|wieso|auch|beide
trolled,flamed|carried|baited|raped|owned|outfarmed|countered|pwned|outplayed|zoned
sss,mia|ss2|owm|ss1|cming|commin|comign|re1|ss|mis
champs,chars|champions|heroes|char
bah,francais|oui|ouai|allez|dire|fran|aller|ais|quoi|laisse
lawl,ouch|hahahahahha|gotcha|aight|waw|2gud|lololol|sniper|jj|nj
mb,asap
2k,1k|high|3k
1vs1,1v1|1on1
crit,spear|shield|lifesteal|spell|snare|ability|charm
qui,elle|moi|ce|comme|toi|sa|vous|mais|pour|aussi
bought,buys|buy
comming,comin|coming|omw|goin|heading|goign|camping
near,behind|under
probably,
remember,forget
worse,stronger|better|older|bigger
frozen,abyssal|mallet|atmas|guardian|zekes|philo|aegis|madreds|warmogs|infinity
wake,shup|grow|hurry|sut|messed|scroll|fked|shu|feedershut|feederv
split,
delete,uninstall|unistall|delet|deinstall|uninstal|unistal
acc,account|smurf|rating
mich,immer|jetzt|uns|einfach|dich|sich|dann|mir|schon|doch
blood,
calm,syndrome
relax,chill
finally,
attitude,language|abuse|beeing|gameplay|verbal|insults
ago,
dein,bett|wo|deiner|deine|mein|alleine|wohl|dir|halts|naja
ou,aller|mais|koi|toi|bah|aussi|ce|seul|surtout|bon
uninstall,unistall|delete|deinstall|delet|uninstal
zzz,wtfff|wops|npnp|gogog|nj|spoko|nooooooooooob|gh|ghj|gotcha
place,put
zz,aie|bana|tom|dah|mul|fds|dej|fg|neger|valla
nc,n1|ncie|feeeder|niec|nioce|noooooooob|fuu|noon|incoming|pmg
wants,needs|likes|tries|refuses
mon,moi|toi|mais|leur|alors|jamais|bon|lui|chaud|etait
sucker,bastard|fag|faggot|jew|loser|fucktard|motherfucker|cunt|nigger|prick
until,till|untill
alot,lots|tons|loads|none|plenty|lot|amount|lack|isntead
having,
dem,meine|dein|mehr|keine|nen|seine|nach|noch|bei|wegen
noooooooooooooooooooooooooooooobs,moms|nooooo
wins,loses
either,
hat,von|macht|bei|noch|schon|zu|nicht|mehr|gemacht|ohne
raped,owned|camped|pwned|outplayed|carried|baited|countered|outfarmed|trolled|zoned
exp,xp|buffs|creeps|blues|farm|lasthits
ghost,ignite|exhaust|flash|taunt|ulti|heal|ulty|shield|ult|teleport
tio,pero|como|cuando|esta|para|eso|hacer|ahora|asi|este
lemme,leme|imma|letme|ima
burst,nuke|poke
id,
mind,
atm,
eyes,hands|penis|parents|sister|brains|girlfriend|computer|tits|pc|gf
wo,dass|vater|bett|naja|nciht|alleine|nix|dein|heute|wollte
wasted,used|missed|burned|wast
indeed,idd|uh|hah|sir|yh|hehe|hahha|ohh|aww|verry
inhib,inhibitor|inhi|turrets|towers|inib|nexus|dragon|nash|drag|nashor
cus,coz|cuz|cos|couse|cause|because|becouse|bcs|becuase|casue
fdp,putin|connard|gros|salope|sale|merci|dire|putain|tg|parler
account,acc|name|smurf|country|computer
wall,
wouldnt,would|shouldnt|could|might|wont|should|didnt|wud|may|couldnt
grave,draven|hari|arhi|vayn|heim|cas|fio|corky|twich|mord
perfect,
fait,nous|par|fais|reste|quand|tous|laisse|veut|tout|qu
doesn,hasn|wouldn|couldn|ain|isn|shouldn|havn|weren|wasn|hadn
ce,ces|bien|mais|aussi|quoi|par|jai|enfin|jamais|sa
